sample_id,text,sentiment,total_words,found_words,missing_words,coverage_pct,found_list,missing_list,embedding_norm,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19
16790," MC, happy mother`s day to your mom ;).. love yah",positive,10,10,0,100.0,"mc, happy, mother, s, day, to, your, mom, love, yah",,13.81779670715332,-1.7377372980117798,2.2636263370513916,-2.3094515800476074,-2.215341567993164,-1.7467365264892578,2.252709150314331,-1.5718638896942139,1.5291916131973267,-1.4151661396026611,1.9324880838394165,2.7764601707458496,1.3315662145614624,-1.265367031097412,2.098935127258301,1.5078061819076538,-1.2662322521209717,-1.644308090209961,-2.2115750312805176,-1.730229139328003,1.8865165710449219
24840,A year from now is graduation....i am pretty sure i`m not ready for it!?!?!?,negative,16,16,0,100.0,"a, year, from, now, is, graduation, i, am, pretty, sure, i, m, not, ready, for, it",,13.118708610534668,-1.9884299039840698,2.0535662174224854,-2.148137092590332,-1.6091665029525757,-2.0482287406921387,1.8068543672561646,-1.6312735080718994,1.7642537355422974,-1.3265552520751953,2.146450996398926,1.8993046283721924,1.7804062366485596,-1.5617464780807495,1.776647925376892,1.6892902851104736,-1.893378734588623,-1.4428430795669556,-2.025571823120117,-1.6438231468200684,2.1323206424713135
6414,Great for organising my work life balance,positive,7,7,0,100.0,"great, for, organising, my, work, life, balance",,14.080387115478516,-2.1395089626312256,2.1616928577423096,-1.9237419366836548,-2.605064630508423,-2.033327341079712,1.9846972227096558,-1.9712785482406616,1.7814366817474365,-1.2477643489837646,1.823258638381958,2.1200709342956543,0.7972983717918396,-1.4892522096633911,2.464689016342163,1.9447470903396606,-2.1716926097869873,-1.8153718709945679,-2.567171812057495,-2.097280502319336,2.0784518718719482
20403, remember the guy who 1st #tweetbud you! ~> _2890  help him get 900 flwrs & make him smile!,positive,16,13,3,81.25,"remember, the, guy, who, 1st, you, help, him, get, 900, make, him, smile","tweetbud, _2890, flwrs",13.514209747314453,-1.9626522064208984,2.4380991458892822,-2.420520305633545,-2.302032709121704,-1.8094063997268677,2.245211124420166,-1.8573722839355469,2.05055570602417,-1.5185844898223877,1.9643219709396362,2.416518449783325,1.2696547508239746,-1.3744406700134277,1.478826642036438,1.608591079711914,-1.3192490339279175,-1.394424319267273,-2.008033037185669,-1.4703682661056519,2.445178747177124
1896, She! Maybe that was our first mistake.  Not everyone is as cool as   (brown nose moment),negative,16,16,0,100.0,"she, maybe, that, was, our, first, mistake, not, everyone, is, as, cool, as, brown, nose, moment",,13.113750457763672,-2.095937490463257,1.7465543746948242,-2.0305466651916504,-2.0447566509246826,-2.1222243309020996,1.7771416902542114,-1.594887375831604,1.8718167543411255,-1.2250839471817017,1.9742980003356934,2.238929510116577,1.1843225955963135,-1.4886759519577026,2.0441553592681885,1.5789709091186523,-1.3173065185546875,-1.5302937030792236,-1.7440170049667358,-2.02459454536438,2.15895938873291
3086, but but it was funny when I wrote it,positive,9,9,0,100.0,"but, but, it, was, funny, when, i, wrote, it",,13.110522270202637,-1.5981569290161133,2.016728401184082,-1.8015367984771729,-2.0886316299438477,-1.812459111213684,1.911515712738037,-1.4517741203308105,1.6667389869689941,-1.4467741250991821,1.447463870048523,2.241527557373047,1.7007418870925903,-1.3812661170959473,1.8051447868347168,1.8967393636703491,-1.480805516242981,-1.2906115055084229,-1.8205504417419434,-1.7469533681869507,2.2687931060791016
8975, I saw an all red Audi on the highway. I sped uo to it hoping it was you. My loss,negative,20,18,2,90.0,"i, saw, an, all, red, on, the, highway, i, sped, to, it, hoping, it, was, you, my, loss","audi, uo",13.344895362854004,-1.851401448249817,1.9326125383377075,-1.9902180433273315,-1.9386934041976929,-1.9847960472106934,2.3919949531555176,-1.718603253364563,1.627433180809021,-1.5503977537155151,1.8149738311767578,2.4250173568725586,1.2985950708389282,-1.376274585723877,1.9261128902435303,1.8534327745437622,-1.5846340656280518,-1.5054689645767212,-1.6269344091415405,-1.861297845840454,2.1386353969573975
9976,I loved this app. Worked so great I purchased it. Now it has logged me out and says I don't exist.,positive,22,22,0,100.0,"i, loved, this, app, worked, so, great, i, purchased, it, now, it, has, logged, me, out, and, says, i, don, t, exist",,14.062830924987793,-2.3814353942871094,1.9455238580703735,-1.5165420770645142,-2.1120519638061523,-2.399627923965454,2.043220043182373,-1.4851676225662231,2.077787160873413,-1.4038153886795044,1.6584155559539795,2.299030303955078,1.5519232749938965,-1.502524495124817,1.556930422782898,2.006833553314209,-1.6520479917526245,-1.262854814529419,-2.326664924621582,-1.523714542388916,2.220034599304199
24958,	REALLY?? oh.. sorry yall  lol,negative,5,5,0,100.0,"really, oh, sorry, yall, lol",,13.238046646118164,-1.580679178237915,2.1072278022766113,-2.3367652893066406,-1.7941564321517944,-1.910016655921936,2.0984103679656982,-1.9907900094985962,1.8887859582901,-1.8257728815078735,2.4458587169647217,2.644880771636963,1.6432163715362549,-1.1866488456726074,1.5343559980392456,1.1207702159881592,-1.8938051462173462,-1.1910139322280884,-1.6224266290664673,-1.8856185674667358,1.9020795822143555
5669,"Widget is mostly useless - it constantly displays no items while having a list selected that is well populated. Alternately, the widget becomes logged out somehow. Hope this gets fixed.",negative,29,27,2,93.10344827586206,"widget, is, mostly, useless, it, constantly, displays, no, items, while, having, a, list, selected, that, is, well, the, widget, becomes, logged, out, somehow, hope, this, gets, fixed","populated, alternately",13.56447982788086,-1.9855049848556519,1.897325038909912,-2.0981943607330322,-2.0144197940826416,-2.155749559402466,2.035123825073242,-1.5364006757736206,1.662737250328064,-1.4914953708648682,2.114116907119751,1.9489697217941284,1.472580909729004,-1.0600963830947876,1.6529746055603027,2.045833110809326,-1.7404358386993408,-1.4678927659988403,-1.7888532876968384,-1.6136704683303833,2.078514337539673
