unit_id,type,text,description
1,từ vựng,Chào,"Tay phải khép, lòng bàn tay hướng về phía trước, đầu ngón tay hướng lên trên, đặt bên phải, ngang tầm với mặt, đưa nhẹ tay sang hai bên (lặp lại 1–2 lần)."
2,từ vựng,Tuổi,"Tay trái nắm, lòng bàn tay hướng vào trong, đặt trước ngực. Tay phải khép, hơi khum lại, lòng bàn tay hướng ra ngoài, đầu ngón tay hướng chếch lên trên, đặt trên tay trái, giữ nguyên cánh tay, xoay cổ tay một vòng từ ngoài vào trong đồng thời nắm tay lại rồi chạm vào tay trái."
3,từ vựng,Xin lỗi,"Tay trái khép, lòng bàn tay ngửa, đầu ngón tay hướng chếch sang phải, đặt trước ngực. Tay phải khép, lòng bàn tay úp, đầu ngón tay hướng chếch sang trái, đặt các đầu ngón tay vào lòng bàn tay trái, đưa tay dọc trong lòng bàn tay trái (lặp lại 2–3 lần)."
4,từ vựng,Màu sắc,"1. Tay phải giống chữ cái ngón tay “M”, đặt trước ngực, giữ nguyên cánh tay, lắc cổ tay về bên phải. 2. Hai tay giống số tự nhiên “1”, lòng bàn tay úp, đầu ngón tay hướng về trước, đặt gần nhau, trước ngực, di chuyển đồng thời cả hai tay sang hai bên (lặp lại 2–3 lần)."
5,từ vựng,Màu đen,"1. Tay phải giống chữ cái ngón tay “M”, đặt trước ngực, giữ nguyên cánh tay, lắc cổ tay về bên phải. 2. Tay phải giống số tự nhiên “1”, lòng bàn tay hướng sang trái, đầu ngón tay hướng lên trên, đặt chạm vào đầu bên phải, sau đó đưa tay xuống dưới."
6,từ vựng,Màu đỏ,"1. Tay phải giống chữ cái ngón tay “M”, đặt trước ngực, giữ nguyên cánh tay, lắc cổ tay về bên phải. 2. Tay phải giống số tự nhiên “1”, lòng bàn tay hướng sang trái, đầu ngón tay hướng lên trên, đặt áp vào giữa miệng, đưa tay xuống dưới."
7,từ vựng,Màu xanh,"1. Tay phải giống chữ cái ngón tay “M”, đặt trước ngực, giữ nguyên cánh tay, lắc cổ tay về bên phải. 2. Tay phải giống chữ cái ngón tay “X”, lòng bàn tay hướng về phía trước, đặt trước ngực, giữ nguyên cánh tay, lắc cổ tay sang hai bên (lặp lại 2–3 lần)."
8,từ vựng,Màu nâu,"1. Tay phải giống chữ cái ngón tay “M”, đặt trước ngực, giữ nguyên cánh tay, lắc cổ tay về bên phải. 2. Tay phải giống chữ cái ngón tay “N”, đặt trước ngực, lắc cổ tay sang phải."
9,từ vựng,Màu trắng,"1. Tay phải giống chữ cái ngón tay “M”, đặt trước ngực, giữ nguyên cánh tay, lắc cổ tay về bên phải. 2. Tay phải giống chữ cái ngón tay “N”, lòng bàn tay hướng vào trong, đầu ngón tay hướng sang trái, đặt chạm vào cánh tay trái, đưa nhẹ tay lên trên."
10,từ vựng,Màu hồng,"1. Tay phải giống chữ cái ngón tay “M”, đặt trước ngực, giữ nguyên cánh tay, lắc cổ tay về bên phải. 2. Tay phải giống chữ cái ngón tay “H”, lòng bàn tay hướng sang trái, đặt sát má phải, đưa tay theo vòng tròn từ ngoài vào trong."
